trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
54,False,"{'a': 0.5, 'e': 0.7299999999999998}",25,15,-25.034732565364656,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.7249999999999998}",25,0,-164.31647085448103,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 4}",0
56,False,"{'a': 0.5, 'e': 0.7199999999999998}",20,0,-115.77005401728246,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.7149999999999997}",25,0,-221.8539215633521,"{0: 14, 1: 3, 2: 2, 3: 2, 4: 4}",0
58,False,"{'a': 0.5, 'e': 0.7099999999999997}",25,0,-210.36024106028339,"{0: 15, 1: 0, 2: 6, 3: 0, 4: 4}",0
59,False,"{'a': 0.5, 'e': 0.7049999999999997}",25,0,1.7443452914237891,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-63.60827970645257,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",1
61,False,"{'a': 0.5, 'e': 0.6949999999999997}",30,0,-35.612501158663264,"{0: 22, 1: 2, 2: 6, 3: 0, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.6899999999999997}",20,0,-101.28965330618853,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
63,False,"{'a': 0.5, 'e': 0.6849999999999997}",25,0,-178.83787885831418,"{0: 12, 1: 3, 2: 6, 3: 2, 4: 2}",0
64,False,"{'a': 0.5, 'e': 0.6799999999999997}",25,0,-31.617914605013176,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
65,False,"{'a': 0.5, 'e': 0.6749999999999997}",30,0,-39.730326778550925,"{0: 22, 1: 2, 2: 6, 3: 0, 4: 0}",0
66,False,"{'a': 0.5, 'e': 0.6699999999999997}",20,0,-110.05596544637476,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
67,False,"{'a': 0.5, 'e': 0.6649999999999997}",25,0,-107.31450470316824,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
68,False,"{'a': 0.5, 'e': 0.6599999999999997}",20,2,-63.58330449935978,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 1}",1
69,False,"{'a': 0.5, 'e': 0.6549999999999997}",20,0,-90.96435348124307,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
70,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-22.488577623660277,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
71,False,"{'a': 0.5, 'e': 0.6449999999999997}",20,0,-112.82365823725388,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
72,False,"{'a': 0.5, 'e': 0.6399999999999997}",20,1,10.549025430645756,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.6349999999999997}",20,3,-49.7393561418515,"{0: 10, 1: 4, 2: 2, 3: 1, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.6299999999999997}",25,0,-5.843600119588688,"{0: 22, 1: 2, 2: 0, 3: 1, 4: 0}",0
75,False,"{'a': 0.5, 'e': 0.6249999999999997}",25,0,-41.662396868677305,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
